
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4811     0.4925  1.3026e-04    2.37
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4614     0.4517  9.5004e-05    2.11
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6109     0.5996  1.2774e-04    1.85
cell(4_x)              0.3069     0.2975  8.7928e-05    3.06
cell(4_y)              0.0583     0.0531  2.7280e-05    8.96
cell(4_z)              0.1927     0.2003  5.7608e-05    3.94
cell(5_x)              0.4614     0.4513  1.0183e-04    2.19
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6109     0.5999  1.2162e-04    1.81
cell(6_x)              0.3069     0.2978  8.3613e-05    2.98
cell(6_y)              0.0583     0.0533  2.5321e-05    8.63
cell(6_z)              0.1927     0.2003  5.7973e-05    3.95
cell(Volume)         224.7610   226.0771  1.7320e+00    0.59
cell(a)                5.5957     5.4809  1.3191e-02    2.05
cell(b)                7.6046     7.6829  6.1373e-03    1.03
cell(c)                5.2819     5.3688  7.5600e-03    1.65
-------------------------------------------------------------
Y2O3                    ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2825     0.2784  1.6974e-05    1.46
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0978     0.0989  1.2477e-06    1.14
cell(3_y)              0.3587     0.3598  1.1751e-06    0.30
cell(3_z)              0.1305     0.1309  1.7978e-07    0.32
cell(4_x)              0.0978     0.0990  1.5129e-06    1.26
cell(4_y)              0.3587     0.3599  1.5203e-06    0.34
cell(4_z)              0.1305     0.1310  2.9702e-07    0.42
cell(Volume)        1192.3311  1182.8338  9.0198e+01    0.80
cell(a)               10.6039    10.5757  7.9688e-04    0.27
cell(b)               10.6039    10.5757  7.9688e-04    0.27
cell(c)               10.6039    10.5757  7.9688e-04    0.27
-------------------------------------------------------------
Fe2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2850     0.2781  4.7321e-05    2.41
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.1290     0.1403  1.2659e-04    8.72
cell(3_y)              0.1470     0.1308  2.6328e-04   11.04
cell(3_z)              0.9165     0.9009  2.4202e-04    1.70
cell(4_x)              0.1290     0.1400  1.2204e-04    8.56
